district_id,district,median_rent,rent_change_pct,gini,poverty_rate,afd_prc,die_linke_prc,year
5,Mitte,11.34,-3.4,0.34,27.2,5.51,14.26,2025
2,Friedrichshain-Kreuzberg,10.36,-2.3,0.32,19.3,2.04,15.14,2025
7,Pankow,9.5,-2.4,0.31,12.1,8.58,16.06,2025
1,Charlottenburg-Wilmersdorf,10.24,-1.6,0.35,17.1,7.25,7.91,2025
9,Spandau,8.0,-2.3,0.29,22.4,8.75,4.29,2025
10,Steglitz-Zehlendorf,9.83,-2.8,0.33,15.5,3.69,3.97,2025
11,Tempelhof-Schoeneberg,9.18,-2.3,0.33,20.5,7.09,2.03,2025
6,Neukoelln,9.03,-3.4,0.32,31.4,9.42,7.53,2025
12,Treptow-Koepenick,8.85,-2.8,0.26,12.7,16.23,32.09,2025
4,Marzahn-Hellersdorf,7.83,-1.3,0.27,17.8,6.62,16.97,2025
8,Reinickendorf,8.33,-2.9,0.31,21.6,5.49,3.28,2025
